ha,[ha]
[någon],[någon]
på,på
tråde,tråden
[något],[något]
tunga,tungan
händ,händerna
full,fulla
att,att
hänga,hänga
i,i
julgran,julgranen
bakom,bakom
galler,galler
betala,betala
för,för
kalas,kalaset
bita,bita
den,det
sur,sura
äpple,äpplet
blotta,blotta
sig,sig
strupe,strupen
brinna,brinna
av,av
iver,iver
dag,dagens
sanning,sanning
det,det
fin,fina
kråksång,kråksången
eld,eld
bak,baken
enligt,enligt
konst,konstens
all,alla
regel,regler
fara,fara
åt,åt
helvete,helvete
fem,femte
hjul,hjulet
fjäril,fjärilar
mage,magen
full,fullt
hus,hus
föra,föra
ljus,ljuset
förlora,förlora
ansikte,ansiktet
föröka,föröka
ge,ge
spark,sparken
gnissla,gnissla
med,med
tänderna,tänderna
gå,gå
fälla,fällan
kras,kras
in,in
vägg,väggen
sin,sin
egen,egen
väg,väg
vidare,vidare
skilja,skilda
håll,håll
göra,göra
peng,pengar
hissa,hissa
segel,segel
hämta,hämta
huvud,huvudet
en,en
tråd,tråd
hålla,hålla
[någon],[sitt]
ord,ord
matta,mattan
tumme,tummarna
tyst,tyst
tätt,tätt
höja,höja
till,till
sky,skyarna
backspegel,backspegeln
krok,krokarna
kasta,kasta
blick,blick
handske,handsken
sophög,sophögen
vatten,vatten
knipa,knipa
käft,käft
kort,kort
stubin,stubin
kräla,kräla
stoft,stoftet
leva,leva
liv,livet
lugna,lugna
gata,gatan
lägga,lägga
hylla,hyllan
man,mannen
hand,handen
hjärta,hjärtat
vänster,vänster
hand,hand
mitt,mitt
prick,prick
objuden,objuden
gäst,gäst
ond,ond
cirkel,cirkel
bana,banan
högvarv,högvarv
lyse,lyset
raka,raka
rör,rör
rapp,rapp
käft,käften
rasa,rasa
samman,samman
rynka,rynka
panna,pannan
röd,röd
ilska,ilska
röra,röra
påk,påkarna
se,se
mellan,mellan
finger,fingrarna
skaka,skaka
skatta,skatta
lycklig,lycklig
skjuta,skjuta
fot,foten
skörda,skörda
frukt,frukterna
slänga,slänga-ur
snyta,snyta
sova,sova
sked,sked
spilla,spilla
tid,tid
spotta,spotta
glas,glaset
sträcka,sträcka
sätta,sätta
punkt,punkt
ta,ta
nackskinn,nackskinnet
tak,tak
över,över
tala,tala
gåta,gåtor
tappa,tappa
vagn,vagn
tråd,tråden
tid,tidens
tand,tand
torr,torr
öra,öronen
mun,munnen
ulv,ulv
fårakläder,fårakläder
uppe,uppe
tupp,tuppen
uppföra,uppföra
som,som
folk,folk
visa,visa
tänd,tänderna
väga,väga
ord,orden
vända,vända
kappa,kappan
efter,efter
vind,vinden
grav,grav
öm,öm
öppen,öppet
